"Sp1.TL1","Sp2.TL1","Sp3.TL1","Sp4.TL1","Sp5.TL1","Sp6.TL1","Sp7.TL2","Sp8.TL2","Sp9.TL2","Sp10.TL3"
-1,0,0,0,0,0,5.39144525181319,0,4.38541278602149,0
0,-1,0,0,0,0,0.393359934106684,0,5.29487595713971,0
0,0,-1,0,0,0,6.71519481408013,0,0,0.216221852038853
0,0,0,-1,0,0,0,0,2.8197112568388,0
0,0,0,0,-1,0,0,8.07344161223952,0,0
0,0,0,0,0,-1,0,4.42655838776048,0,9.58458896852935
-5.39144525181319,-0.393359934106684,-6.71519481408013,0,0,0,0,0,0,0
0,0,0,0,-8.07344161223952,-4.42655838776048,0,0,0,0.199189179431803
-4.38541278602149,-5.29487595713971,0,-2.8197112568388,0,0,0,0,0,0
0,0,-0.216221852038853,0,0,-9.58458896852935,0,-0.199189179431803,0,0
