"Sp1.TL1","Sp2.TL1","Sp3.TL1","Sp4.TL1","Sp5.TL1","Sp6.TL1","Sp7.TL1","Sp8.TL1","Sp9.TL1","Sp10.TL1","Sp11.TL1","Sp12.TL2","Sp13.TL2","Sp14.TL2","Sp15.TL2","Sp16.TL2","Sp17.TL2","Sp18.TL3","Sp19.TL3","Sp20.TL3"
-1,0,0,0,0,0,0,0,0,0,0,0.085347980053343,0,0,8.13993566775808,0,0,0,0,1.35920243438539
0,-1,0,0,0,0,0,0,0,0,0,3.80810576571249,0,0,0,0.776104483673391,0,0,0,0
0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26600326697579,0,3.27824680668612
0,0,0,-1,0,0,0,0,0,0,0,0.514847985897701,0,12.5,0,0,0,0,0.516757794481891,0
0,0,0,0,-1,0,0,0,0,0,0,6.23267786423717,0,0,0,5.03293231394109,2.03974549399979,0,0,1.00155318549094
0,0,0,0,0,-1,0,0,0,0,0,0,2.12020967983382,0,4.36006433224192,0,0,0,0,0
0,0,0,0,0,0,-1,0,0,0,0,0,6.39258077689897,0,0,0,7.29834761382316,0,0,0
0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,6.31126270263596,0,0,0,0
0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0.941575158929597,0,0,0
0,0,0,0,0,0,0,0,0,-1,0,0,0.301006918978014,0,0,0.379700499749559,2.22033173324746,0,4.30936264094832,0
0,0,0,0,0,0,0,0,0,0,-1,1.85902040409929,3.6862026242892,0,0,0,0,2.01664532573696,0,0
-0.085347980053343,-3.80810576571249,0,-0.514847985897701,-6.23267786423717,0,0,0,0,0,-1.85902040409929,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-2.12020967983382,-6.39258077689897,0,0,-0.301006918978014,-3.6862026242892,0,0,0,0,0,0,5.43033059743991,0,0.974372371513813
0,0,0,-12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241989469451369,3.38662520192374
-8.13993566775808,0,0,0,0,-4.36006433224192,0,0,0,0,0,0,0,0,0,0,0,0.287020809847343,4.93189009511842,0
0,-0.776104483673391,0,0,-5.03293231394109,0,0,-6.31126270263596,0,-0.379700499749559,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-2.03974549399979,0,-7.29834761382316,0,-0.941575158929597,-2.22033173324746,0,0,0,0,0,0,0,0,0,0
0,0,-2.26600326697579,0,0,0,0,0,0,0,-2.01664532573696,0,-5.43033059743991,0,-0.287020809847343,0,0,0,0,0
0,0,0,-0.516757794481891,0,0,0,0,0,-4.30936264094832,0,0,0,-0.241989469451369,-4.93189009511842,0,0,0,0,0
-1.35920243438539,0,-3.27824680668612,0,-1.00155318549094,0,0,0,0,0,0,0,-0.974372371513813,-3.38662520192374,0,0,0,0,0,0
