Metric_0,Metric_1,Metric_2,Metric_3,Metric_4
0.376,0.499,0.266,0.399,0.481
0.377,0.496,0.259,0.376,0.499
0.376,0.498,0.258,0.377,0.496
0.39,0.497,0.257,0.376,0.498
0.39,0.492,0.259,0.39,0.497
0.382,0.499,0.26,0.39,0.492
0.386,0.493,0.261,0.382,0.499
0.383,0.501,0.276,0.386,0.493
0.379,0.495,0.276,0.383,0.501
0.382,0.491,0.279,0.379,0.495
0.388,0.496,0.283,0.382,0.491
0.374,0.5,0.276,0.388,0.496
0.37,0.492,0.29,0.374,0.5
0.371,0.504,0.29,0.37,0.492
0.368,0.503,0.276,0.371,0.504
0.368,0.5,0.27,0.368,0.503
0.377,0.502,0.27,0.368,0.5
0.366,0.488,0.258,0.377,0.502
0.372,0.477,0.255,0.366,0.488
0.375,0.483,0.26,0.372,0.477
0.374,0.503,0.275,0.375,0.483
0.375,0.496,0.271,0.374,0.503
0.379,0.49,0.261,0.375,0.496
0.394,0.478,0.265,0.379,0.49
0.413,0.488,0.26,0.394,0.478
0.388,0.49,0.26,0.413,0.488
0.374,0.485,0.265,0.388,0.49
0.373,0.489,0.266,0.374,0.485
0.374,0.49,0.274,0.373,0.489
0.371,0.504,0.272,0.374,0.49
0.372,0.49,0.266,0.371,0.504
0.375,0.504,0.27,0.372,0.49
0.38,0.503,0.271,0.375,0.504
0.374,0.499,0.264,0.38,0.503
0.365,0.497,0.266,0.374,0.499
0.362,0.493,0.257,0.365,0.497
0.369,0.477,0.259,0.362,0.493
0.384,0.467,0.261,0.369,0.477
0.367,0.474,0.259,0.384,0.467
0.377,0.484,0.263,0.367,0.474
0.383,0.478,0.273,0.377,0.484
0.392,0.469,0.271,0.383,0.478
0.392,0.479,0.266,0.392,0.469
0.396,0.499,0.261,0.392,0.479
0.395,0.512,0.257,0.396,0.499
0.393,0.509,0.262,0.395,0.512
0.388,0.502,0.267,0.393,0.509
0.386,0.491,0.267,0.388,0.502
0.375,0.499,0.264,0.386,0.491
0.376,0.497,0.271,0.375,0.499
0.384,0.515,0.256,0.376,0.497
0.389,0.524,0.258,0.384,0.515
0.388,0.525,0.264,0.389,0.524
0.379,0.522,0.263,0.388,0.525
0.371,0.525,0.265,0.379,0.522
0.377,0.525,0.261,0.371,0.525
0.394,0.527,0.272,0.377,0.525
0.391,0.51,0.272,0.394,0.527
0.388,0.496,0.28,0.391,0.51
0.382,0.497,0.291,0.388,0.496
