Metric_0,Metric_1,Metric_2,Metric_3,Metric_4
0.278,0.511,0.29,0.292,0.489
0.286,0.496,0.309,0.278,0.511
0.31,0.521,0.3,0.286,0.496
0.291,0.505,0.299,0.31,0.521
0.287,0.468,0.308,0.291,0.505
0.29,0.49,0.309,0.287,0.468
0.284,0.496,0.301,0.29,0.49
0.292,0.484,0.304,0.284,0.496
0.293,0.486,0.31,0.292,0.484
0.299,0.484,0.315,0.293,0.486
0.31,0.478,0.3,0.299,0.484
0.281,0.509,0.306,0.31,0.478
0.273,0.508,0.293,0.281,0.509
0.289,0.48,0.297,0.273,0.508
0.287,0.493,0.296,0.289,0.48
0.271,0.477,0.298,0.287,0.493
0.284,0.497,0.31,0.271,0.477
0.286,0.484,0.287,0.284,0.497
0.278,0.495,0.3,0.286,0.484
0.289,0.503,0.301,0.278,0.495
0.287,0.466,0.288,0.289,0.503
0.277,0.507,0.291,0.287,0.466
0.284,0.475,0.295,0.277,0.507
0.286,0.467,0.282,0.284,0.475
0.275,0.477,0.304,0.286,0.467
0.277,0.475,0.298,0.275,0.477
0.278,0.478,0.292,0.277,0.475
0.307,0.493,0.296,0.278,0.478
0.363,0.452,0.361,0.307,0.493
0.273,0.467,0.3,0.363,0.452
0.281,0.492,0.295,0.273,0.467
0.371,0.489,0.368,0.281,0.492
0.282,0.544,0.299,0.371,0.489
0.28,0.475,0.288,0.282,0.544
0.291,0.458,0.292,0.28,0.475
0.275,0.467,0.298,0.291,0.458
0.283,0.483,0.297,0.275,0.467
0.278,0.478,0.291,0.283,0.483
0.281,0.465,0.299,0.278,0.478
0.287,0.464,0.299,0.281,0.465
0.282,0.476,0.313,0.287,0.464
0.288,0.465,0.317,0.282,0.476
0.285,0.475,0.297,0.288,0.465
0.293,0.484,0.32,0.285,0.475
0.287,0.453,0.299,0.293,0.484
0.269,0.47,0.279,0.287,0.453
0.269,0.417,0.285,0.269,0.47
0.265,0.461,0.28,0.269,0.417
0.267,0.443,0.287,0.265,0.461
0.267,0.449,0.282,0.267,0.443
0.277,0.457,0.285,0.267,0.449
0.357,0.47,0.341,0.277,0.457
0.261,0.461,0.282,0.357,0.47
0.274,0.471,0.285,0.261,0.461
0.278,0.46,0.281,0.274,0.471
0.292,0.454,0.278,0.278,0.46
0.267,0.439,0.287,0.292,0.454
0.266,0.425,0.278,0.267,0.439
0.266,0.447,0.285,0.266,0.425
0.274,0.468,0.287,0.266,0.447
0.261,0.473,0.278,0.274,0.468
0.266,0.43,0.279,0.261,0.473
0.281,0.454,0.285,0.266,0.43
0.274,0.432,0.289,0.281,0.454
0.27,0.455,0.278,0.274,0.432
0.288,0.475,0.295,0.27,0.455
0.282,0.439,0.309,0.288,0.475
0.273,0.459,0.284,0.282,0.439
0.268,0.438,0.298,0.273,0.459
0.262,0.444,0.288,0.268,0.438
0.262,0.449,0.274,0.262,0.444
0.271,0.461,0.266,0.262,0.449
0.265,0.448,0.268,0.271,0.461
0.259,0.468,0.275,0.265,0.448
0.268,0.464,0.27,0.259,0.468
0.265,0.467,0.281,0.268,0.464
0.269,0.469,0.285,0.265,0.467
0.25,0.46,0.284,0.269,0.469
0.279,0.48,0.288,0.25,0.46
0.328,0.474,0.331,0.279,0.48
0.279,0.476,0.28,0.328,0.474
0.279,0.476,0.38,0.279,0.476
0.268,0.464,0.282,0.279,0.476
0.28,0.467,0.285,0.268,0.464
0.327,0.489,0.359,0.28,0.467
0.268,0.459,0.283,0.327,0.489
0.276,0.461,0.289,0.268,0.459
0.273,0.476,0.291,0.276,0.461
0.287,0.465,0.293,0.273,0.476
0.282,0.451,0.295,0.287,0.465
0.264,0.472,0.297,0.282,0.451
0.266,0.46,0.285,0.264,0.472
0.28,0.489,0.299,0.266,0.46
0.288,0.455,0.305,0.28,0.489
0.288,0.485,0.306,0.288,0.455
0.304,0.532,0.325,0.288,0.485
0.308,0.562,0.315,0.304,0.532
0.324,0.542,0.333,0.308,0.562
0.33,0.566,0.312,0.324,0.542
0.304,0.538,0.315,0.33,0.566
0.295,0.518,0.316,0.304,0.538
0.287,0.522,0.313,0.295,0.518
0.294,0.516,0.322,0.287,0.522
0.284,0.483,0.301,0.294,0.516
0.311,0.5,0.33,0.284,0.483
0.286,0.474,0.325,0.311,0.5
0.302,0.501,0.314,0.286,0.474
0.295,0.513,0.304,0.302,0.501
0.29,0.515,0.316,0.295,0.513
0.315,0.508,0.32,0.29,0.515
0.312,0.519,0.321,0.315,0.508
0.303,0.485,0.321,0.312,0.519
0.288,0.48,0.313,0.303,0.485
0.292,0.495,0.322,0.288,0.48
0.285,0.506,0.305,0.292,0.495
0.303,0.5,0.337,0.285,0.506
0.301,0.489,0.329,0.303,0.5
0.293,0.514,0.321,0.301,0.489
0.283,0.436,0.302,0.293,0.514
0.274,0.47,0.284,0.283,0.436
0.382,0.427,0.387,0.274,0.47
0.29,0.492,0.305,0.382,0.427
0.304,0.482,0.314,0.29,0.492
0.308,0.463,0.304,0.304,0.482
0.295,0.505,0.323,0.308,0.463
0.287,0.502,0.317,0.295,0.505
0.297,0.5,0.306,0.287,0.502
0.288,0.488,0.306,0.297,0.5
0.284,0.483,0.332,0.288,0.488
0.28,0.478,0.312,0.284,0.483
0.289,0.464,0.292,0.28,0.478
0.292,0.494,0.308,0.289,0.464
0.296,0.461,0.313,0.292,0.494
0.279,0.469,0.298,0.296,0.461
0.29,0.473,0.299,0.279,0.469
0.279,0.464,0.311,0.29,0.473
0.282,0.461,0.291,0.279,0.464
0.274,0.479,0.303,0.282,0.461
0.287,0.456,0.295,0.274,0.479
0.287,0.473,0.301,0.287,0.456
0.282,0.467,0.295,0.287,0.473
0.264,0.442,0.273,0.282,0.467
0.266,0.454,0.283,0.264,0.442
0.269,0.46,0.294,0.266,0.454
0.263,0.422,0.284,0.269,0.46
0.264,0.436,0.283,0.263,0.422
0.265,0.456,0.291,0.264,0.436
0.273,0.425,0.274,0.265,0.456
0.264,0.442,0.276,0.273,0.425
0.269,0.456,0.291,0.264,0.442
0.281,0.448,0.277,0.269,0.456
0.277,0.454,0.281,0.281,0.448
0.267,0.446,0.286,0.277,0.454
0.268,0.478,0.284,0.267,0.446
0.271,0.457,0.294,0.268,0.478
0.286,0.468,0.28,0.271,0.457
0.272,0.432,0.286,0.286,0.468
0.266,0.405,0.273,0.272,0.432
0.263,0.459,0.287,0.266,0.405
0.266,0.444,0.284,0.263,0.459
0.255,0.444,0.275,0.266,0.444
0.266,0.457,0.299,0.255,0.444
0.289,0.465,0.306,0.266,0.457
0.275,0.461,0.292,0.289,0.465
0.269,0.452,0.288,0.275,0.461
0.304,0.573,0.32,0.269,0.452
0.33,0.514,0.35,0.304,0.573
0.308,0.499,0.325,0.33,0.514
0.339,0.489,0.367,0.308,0.499
0.339,0.536,0.367,0.339,0.489
0.345,0.645,0.418,0.339,0.536
0.339,0.537,0.362,0.345,0.645
0.342,0.547,0.341,0.339,0.537
0.274,0.477,0.297,0.342,0.547
0.269,0.474,0.3,0.274,0.477
0.261,0.476,0.298,0.269,0.474
0.262,0.454,0.291,0.261,0.476
0.266,0.475,0.271,0.262,0.454
